Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
模拟创建_删除业务模型,Chrome 98.0.4758.80,,,2022-02-16 10:40:20,2022-02-16 10:49:01,8m - 41.175s,FAILED
,,,,,,,
Test Cases/配置业务模型,Chrome 98.0.4758.80,,,2022-02-16 10:40:20,2022-02-16 10:43:03,2m - 43.125s,PASSED
"openBrowser("""")",Chrome 98.0.4758.80,,,2022-02-16 10:40:21,2022-02-16 10:40:27,6.510s,PASSED
"navigateToUrl(""http://121.40.154.50:8049/login"")",Chrome 98.0.4758.80,,,2022-02-16 10:40:27,2022-02-16 10:40:30,3.259s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input_Name_loginName""), ""13666666666"")",Chrome 98.0.4758.80,,,2022-02-16 10:40:30,2022-02-16 10:40:34,3.647s,PASSED
"setEncryptedText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input_Password_loginPwd""), ""aeHFOx8jV/A="")",Chrome 98.0.4758.80,,,2022-02-16 10:40:34,2022-02-16 10:40:35,0.552s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/button_""))",Chrome 98.0.4758.80,,,2022-02-16 10:40:35,2022-02-16 10:40:35,0.720s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/a_""))",Chrome 98.0.4758.80,,,2022-02-16 10:40:35,2022-02-16 10:40:38,2.450s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span_""))",Chrome 98.0.4758.80,,,2022-02-16 10:40:38,2022-02-16 10:40:40,2.162s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input__modelName""), ""taouser1"")",Chrome 98.0.4758.80,,,2022-02-16 10:40:40,2022-02-16 10:40:41,1.155s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input_Code_modelCode""), ""taouser1"")",Chrome 98.0.4758.80,,,2022-02-16 10:40:41,2022-02-16 10:40:42,1.302s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/div_CodeIDIDIDID""))",Chrome 98.0.4758.80,,,2022-02-16 10:40:42,2022-02-16 10:40:43,0.357s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/button__1""))",Chrome 98.0.4758.80,,,2022-02-16 10:40:43,2022-02-16 10:40:43,0.484s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span_""))",Chrome 98.0.4758.80,,,2022-02-16 10:40:43,2022-02-16 10:40:44,1.089s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input__modelName""), ""涛视频1"")",Chrome 98.0.4758.80,,,2022-02-16 10:40:44,2022-02-16 10:40:46,1.880s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input_Code_modelCode""), ""taovideo1"")",Chrome 98.0.4758.80,,,2022-02-16 10:40:46,2022-02-16 10:40:47,0.932s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span__1""))",Chrome 98.0.4758.80,,,2022-02-16 10:40:47,2022-02-16 10:41:19,31.982s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/a__1""))",Chrome 98.0.4758.80,,,2022-02-16 10:41:19,2022-02-16 10:41:20,1.104s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span__1_2""))",Chrome 98.0.4758.80,,,2022-02-16 10:41:20,2022-02-16 10:41:22,2.130s,PASSED
